,survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone
855,1,3,female,18.0,0,1,9.35,S,Third,woman,False,U,Southampton,yes,False
856,1,1,female,45.0,1,1,164.8667,S,First,woman,False,U,Southampton,yes,False
857,1,1,male,51.0,0,0,26.55,S,First,man,True,E,Southampton,yes,True
858,1,3,female,24.0,0,3,19.2583,C,Third,woman,False,U,Cherbourg,yes,False
862,1,1,female,48.0,0,0,25.9292,S,First,woman,False,D,Southampton,yes,True
865,1,2,female,42.0,0,0,13.0,S,Second,woman,False,U,Southampton,yes,True
866,1,2,female,27.0,1,0,13.8583,C,Second,woman,False,U,Cherbourg,yes,False
869,1,3,male,4.0,1,1,11.1333,S,Third,boy,False,U,Southampton,yes,False
871,1,1,female,47.0,1,1,52.5542,S,First,woman,False,D,Southampton,yes,False
874,1,2,female,28.0,1,0,24.0,C,Second,woman,False,U,Cherbourg,yes,False
875,1,3,female,15.0,0,0,7.225,C,Third,girl,False,U,Cherbourg,yes,True
879,1,1,female,56.0,0,1,83.1583,C,First,woman,False,C,Cherbourg,yes,False
880,1,2,female,25.0,0,1,26.0,S,Second,woman,False,U,Southampton,yes,False
887,1,1,female,19.0,0,0,30.0,S,First,woman,False,B,Southampton,yes,True
889,1,1,male,26.0,0,0,30.0,C,First,man,True,C,Cherbourg,yes,True
